Compound_name,Column,Organic_modifier,pH,Buffer,SMILES,RT
1-Nitropyrene,C18-Mixed,Acetonitrile,5,Formiate,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,16.272000000000002
1-Nitropyrene,C18-Mixed,Acetonitrile,8,Bicarbonate,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,16.387999999999998
1-Nitropyrene,C18-Mixed,Acetonitrile,8,Formiate,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,16.264
1-Nitropyrene,C18-Mixed,Acetonitrile,10,Ammonia,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,16.456
1-Nitropyrene,C18-Mixed,Methanol,2.7,Acetic acid,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,18.448
1-Nitropyrene,C18-Mixed,Methanol,2.7,Formic acid,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,18.732
1-Nitropyrene,C18-Mixed,Methanol,2.7,TFA,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,18.51
1-Nitropyrene,C18-Mixed,Methanol,5,Acetate,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,18.378
1-Nitropyrene,C18-Mixed,Methanol,5,Formiate,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,18.382
1-Nitropyrene,C18-Mixed,Methanol,8,Bicarbonate,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,18.32
1-Nitropyrene,C18-Mixed,Methanol,8,Formiate,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,18.37
1-Nitropyrene,C18-Mixed,Methanol,10,Ammonia,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,18.374
1-Nitropyrene,C18-RP,Acetonitrile,2,TFA,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,15.855
1-Nitropyrene,C18-RP,Acetonitrile,5,Formiate,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,14.754999999999999
1-Nitropyrene,C18-RP,Methanol,2,TFA,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,18.302
1-Nitropyrene,C18-RP,Methanol,5,Acetate,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,18.0275
1-Nitropyrene,C18-RP,Methanol,8,Bicarbonate,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,18.009999999999998
1-Nitropyrene,C18-RP,Methanol,10,Ammonia,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,18.035
1-Nitropyrene,HILIC,Acetonitrile,2.7,Formic acid,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,2.373333333333333
1-Nitropyrene,HILIC,Acetonitrile,3,Acetic acid,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,2.338
1-Nitropyrene,HILIC,Acetonitrile,3,Formic acid,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,2.2266666666666666
1-Nitropyrene,HILIC,Acetonitrile,5,Acetic acid,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,2.2214285714285715
1-Nitropyrene,HILIC,Acetonitrile,5,Formic acid,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,2.1766666666666667
1-Nitropyrene,HILIC,Acetonitrile,6.7,Formic acid,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,2.185
1-Nitropyrene,HILIC,Methanol,2.7,Formic acid,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,1.8042857142857143
1-Nitropyrene,HILIC,Methanol,3,Acetic acid,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,1.852857142857143
1-Nitropyrene,HILIC,Methanol,3,Formic acid,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,1.81
1-Nitropyrene,HILIC,Methanol,5,Acetic acid,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,1.81
1-Nitropyrene,HILIC,Methanol,5,Formic acid,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,1.8071428571428572
1-Nitropyrene,HILIC,Methanol,6.7,Formic acid,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,1.9342857142857142
