File_name,Compound_name,Column,Organic_modifier,pH,Buffer,Peak_Area_IC,slope,S/N,conc_M,ret_time,SMILES
200318,17beta estradiol,C18-Mixed,Methanol,2.7,Formic acid,3714666486.9179053,1167133344814.4724,469,0.002760691341386685,16.15,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
200318,17beta estradiol,C18-Mixed,Methanol,2.7,Formic acid,7397561340.252005,1167133344814.4724,990,0.00552138268277337,16.15,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
200318,17beta estradiol,C18-Mixed,Methanol,2.7,Formic acid,16734703288.02735,1167133344814.4724,1994,0.013803456706933425,16.15,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
200318,17beta estradiol,C18-Mixed,Methanol,2.7,Formic acid,29567496519.86269,1167133344814.4724,3314,0.02760691341386685,16.13,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
200318,1H-Benzotriazole,C18-Mixed,Acetonitrile,2.7,Formic acid,12434036715.366394,1561724678843.3347,791,0.005824779810793877,5.89,c1ccc2c(c1)nn[nH]2
200318,1H-Benzotriazole,C18-Mixed,Acetonitrile,2.7,Formic acid,22358199738.483826,1561724678843.3347,1225,0.011649559621587754,5.89,c1ccc2c(c1)nn[nH]2
200318,1H-Benzotriazole,C18-Mixed,Acetonitrile,2.7,Formic acid,49057263559.5393,1561724678843.3347,2976,0.029123899053969383,5.89,c1ccc2c(c1)nn[nH]2
200318,1H-Benzotriazole,C18-Mixed,Acetonitrile,2.7,Formic acid,80748712118.29282,1561724678843.3347,4056,0.058247798107938765,5.89,c1ccc2c(c1)nn[nH]2
200318,1H-Benzotriazole,C18-Mixed,Methanol,2.7,Formic acid,13718615566.770235,1799055336231.916,932,0.005824779810793877,8.43,c1ccc2c(c1)nn[nH]2
200318,1H-Benzotriazole,C18-Mixed,Methanol,2.7,Formic acid,25893089904.241634,1799055336231.916,1616,0.011649559621587754,8.45,c1ccc2c(c1)nn[nH]2
200318,1H-Benzotriazole,C18-Mixed,Methanol,2.7,Formic acid,56119412695.41936,1799055336231.916,3186,0.029123899053969383,8.45,c1ccc2c(c1)nn[nH]2
200318,1H-Benzotriazole,C18-Mixed,Methanol,2.7,Formic acid,96629164717.25641,1799055336231.916,6222,0.058247798107938765,8.45,c1ccc2c(c1)nn[nH]2
200318,2-(Methylthio)benzothiazole,C18-Mixed,Acetonitrile,2.7,Formic acid,853249384.4091762,203142479125.84955,81,0.004322188450323993,12.82,CSc1nc2ccccc2s1
200318,2-(Methylthio)benzothiazole,C18-Mixed,Acetonitrile,2.7,Formic acid,1751096600.2195876,203142479125.84955,218,0.0086443769006479855,12.82,CSc1nc2ccccc2s1
200318,2-(Methylthio)benzothiazole,C18-Mixed,Acetonitrile,2.7,Formic acid,4254517406.6232543,203142479125.84955,451,0.021610942251619962,12.82,CSc1nc2ccccc2s1
200318,2-(Methylthio)benzothiazole,C18-Mixed,Acetonitrile,2.7,Formic acid,8437752034.823509,203142479125.84955,948,0.043221884503239924,12.82,CSc1nc2ccccc2s1
200318,2-(Methylthio)benzothiazole,C18-Mixed,Acetonitrile,2.7,Formic acid,17582836278.704426,203142479125.84955,1645,0.08644376900647985,12.82,CSc1nc2ccccc2s1
200318,2-(Methylthio)benzothiazole,C18-Mixed,Methanol,2.7,Formic acid,1367513825.2627685,292133975105.3295,188,0.004322188450323993,15.34,CSc1nc2ccccc2s1
200318,2-(Methylthio)benzothiazole,C18-Mixed,Methanol,2.7,Formic acid,2651721728.6210904,292133975105.3295,405,0.0086443769006479855,15.33,CSc1nc2ccccc2s1
200318,2-(Methylthio)benzothiazole,C18-Mixed,Methanol,2.7,Formic acid,6565712130.198144,292133975105.3295,1006,0.021610942251619962,15.34,CSc1nc2ccccc2s1
200318,2-(Methylthio)benzothiazole,C18-Mixed,Methanol,2.7,Formic acid,12727816947.109173,292133975105.3295,1716,0.043221884503239924,15.34,CSc1nc2ccccc2s1
