standardized_inchikey,standardized_SMILES,RT
OLEWMKVPSUCNLG-UHFFFAOYSA-N,CSc1ccc(CC(C)N)cc1,5.24
KBRYKXCBGISXQV-UHFFFAOYSA-N,CC(C)N(CCc1c[nH]c2cccc(O)c12)C(C)C,4.34
OQRMHCMQYJXSPU-UHFFFAOYSA-N,Cc1cccc2nnn(C)c12,6.76
WPAPSGQWYNPWCZ-UHFFFAOYSA-N,Cc1ccc(C2(c3ccccc3)NC(=O)NC2=O)cc1,8.12
VKUMKUZDZWHMQU-UHFFFAOYSA-N,CC(N)Cc1ccc2occc2c1,4.79
QNYWJTMYNAJZTQ-UHFFFAOYSA-N,CC(C)(C)NCC(O)COc1cc(C(=O)O)ccc1Cl,5.01
CMGDVUCDZOBDNL-UHFFFAOYSA-N,Cc1cccc2[nH]nnc12,5.83
OGNJZVNNKBZFRM-UHFFFAOYSA-N,COc1ccc2[nH]cc(CC(C)N)c2c1,4.36
HGRHWEAUHXYNNP-UHFFFAOYSA-N,C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12,4.89
DNBPMBJFRRVTSJ-UHFFFAOYSA-N,COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,4.81
ZSTKHSQDNIGFLM-UHFFFAOYSA-N,COc1ccc2[nH]cc(CCN(C)C)c2c1,3.98
JTEJPPKMYBDEMY-UHFFFAOYSA-N,COc1ccc2[nH]cc(CCN)c2c1,4.01
ACEHBQPPDDGCGZ-UHFFFAOYSA-N,COc1ccc2[nH]c(C)c(CCN(C)C)c2c1,4.19
FQDAMYLMQQKPRX-UHFFFAOYSA-N,CC(N)Cc1ccc2ccoc2c1,4.81
GLVAUDGFNGKCSF-UHFFFAOYSA-N,S=c1[nH]cnc2[nH]cnc12,2.61
JJGYGPZNTOPXGV-SSTWWWIQSA-N,CC(=O)O[C@H]1C=C[C@H]2[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3C)[C@H]1O5,3.75
HEFRPWRJTGLSSV-UHFFFAOYSA-N,Nc1ccc2c(c1)C(c1ccccc1Cl)=NCC(=O)N2,4.86
IWZVUERQZJRRPL-UHFFFAOYSA-N,Nc1ccc2c(c1)C(c1ccccc1F)=NCC(=O)N2,4.62
