standardized_inchikey,standardized_SMILES,RT
BLFLLBZGZJTVJG-UHFFFAOYSA-N,CCOC(=O)c1ccc(N)cc1,6.27
GNRXCIONJWKSEA-KTXOBNNYSA-N,CNC[C@]12CC[C@H](c3ccccc31)c1ccccc12,6.52
CYDRXTMLKJDRQH-UHFFFAOYSA-N,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,11.215
IOJUPLGTWVMSFF-UHFFFAOYSA-N,c1ccc2scnc2c1,6.88
QRUDEWIWKLJBPS-UHFFFAOYSA-N,c1ccc2[nH]nnc2c1,4.76
BZMIHNKNQJJVRO-JZJYNLBNSA-N,CCO/N=C(\OC(=O)c1ccccc1)c1c(OC)ccc(Cl)c1OC,11.29
BTAFSOGRDASALR-UHFFFAOYSA-N,CCCCCCCCCCCC[N+](CCO)(CCO)Cc1ccccc1,11.27
GVGYEFKIHJTNQZ-WJLOJVBCSA-N,CN1[C@H]2CC[C@@H]1C(C(=O)O)[C@@H](OC(=O)c1ccccc1)C2,4.68
SLCGUGMPSUYJAY-UHFFFAOYSA-N,CCOC(=O)C(C)N(C(=O)c1ccccc1)c1ccc(Cl)c(Cl)c1,10.99
NDTSRXAMMQDVSW-UHFFFAOYSA-N,NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,6.81
DTCJYIIKPVRVDD-UHFFFAOYSA-N,CNC(=O)Nc1nc2ccccc2s1,7.13
IQXXEPZFOOTTBA-UHFFFAOYSA-N,c1ccc(CN2CCNCC2)cc1,4.23
GJFCONYVAUNLKB-DVTGEIKXSA-N,C[C@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,8.43
NWIUTZDMDHAVTP-UHFFFAOYSA-N,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,6.68
NIVZHWNOUVJHKV-UHFFFAOYSA-N,CN=C(NC)NCc1ccccc1,3.97
IIBYAHWJQTYFKB-UHFFFAOYSA-N,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,8.77
LKJPYSCBVHEWIU-UHFFFAOYSA-N,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,8.74
VHLKTXFWDRXILV-UHFFFAOYSA-N,COc1ccc(-c2ccccc2)cc1NNC(=O)OC(C)C,9.87
NZUIXQMMGGMTCY-UHFFFAOYSA-N,COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1N(O)O,11.49
OMFRMAHOUUJSGP-OSRFAHOBSA-N,Cc1c(COC(=O)C2[C@@H](/C=C(\Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,14.09
YBJHBAHKTGYVGT-ZKWXMUAHSA-N,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,4.44
YSXKPIUOCJLQIE-BDWAOYLISA-N,OC(CCN1CCCCC1)(c1ccccc1)C1C[C@@H]2C=C[C@H]1C2,7.63
VHYCDWMUTMEGQY-UHFFFAOYSA-N,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,5.91
RYVIXQCRCQLFCM-UHFFFAOYSA-N,COc1cc(OC)nc(Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C(=O)O)n1,8.86
VGPIBGGRCVEHQZ-UHFFFAOYSA-N,CC(C)(C)C(O)C(Oc1ccc(-c2ccccc2)cc1)n1cncn1,11.27
VKEQBMCRQDSRET-UHFFFAOYSA-N,CNC(C)C(=O)c1ccc2c(c1)OCO2,3.795
BDNMABJZSXTKAQ-UHFFFAOYSA-N,CCN(CC)CCCOC(=O)C1(c2ccccc2)CC2CCC1C2,8.54
WYEMLYFITZORAB-UHFFFAOYSA-N,O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl,9.4
OOJXMFNDUXHDOV-UHFFFAOYSA-N,CNC(C)C(=O)c1ccc(Br)cc1,5.05
LNDUTAIPEYOCDF-UHFFFAOYSA-N,O=c1c(C2CC(c3ccc(-c4ccc(Br)cc4)cc3)Cc3ccccc32)c(O)oc2ccccc12,13.02
CTSLUCNDVMMDHG-UHFFFAOYSA-N,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,7.07
IUZFQERQUZLNKQ-UHFFFAOYSA-N,O=c1c(C(CC(O)c2ccc(-c3ccc(Br)cc3)cc2)c2ccccc2)c(O)oc2ccccc12,11.52
VMIYHDSEFNYJSL-UHFFFAOYSA-N,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,7.28
OJGDCBLYJGHCIH-UHFFFAOYSA-N,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,10.01
GIKPTWKWYXCBEC-SSDOTTSWSA-N,C[C@@H](N)Cc1c2ccoc2c(Br)c2ccoc12,7.41
NYQDCVLCJXRDSK-UHFFFAOYSA-N,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,12.66
KWGUFOITWDSNQY-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,13.53
FOANIXZHAMJWOI-UHFFFAOYSA-N,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,12.52
RKLNONIVDFXQRX-UHFFFAOYSA-N,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,7.12
ZDIGNSYAACHWNL-UHFFFAOYSA-N,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,6.56
HJJVPARKXDDIQD-UHFFFAOYSA-N,Clc1ccc(C2(Cn3cncn3)CC(Br)CO2)c(Cl)c1,9.87
CMCCHHWTTBEZNM-UHFFFAOYSA-N,CC(C)C(Br)C(=O)NC(N)=O,6.17
UMSGKTJDUHERQW-UHFFFAOYSA-N,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,8.28
RRKTZKIUPZVBMF-PLNGPGDESA-N,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCOC6CC(=O)N2C1[C@H]6[C@H]5C[C@H]43,4.21
LIAWQASKBFCRNR-UHFFFAOYSA-N,CCOc1ccc(NC(=O)CC(C)O)cc1,6.27
QIHLUZAFSSMXHQ-UHFFFAOYSA-N,CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,6.72
LODGIKWNLDQZBM-LBPRGKRZSA-N,COc1ccc2c(c1O)-c1c3c(cc4c1[C@H](C2)N(C)CC4)OCO3,4.36
MAEIEVLCKWDQJH-UHFFFAOYSA-N,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,7.83
VCVQSRCYSKKPBA-UHFFFAOYSA-N,CC(C)(C)NCC(O)COc1ccccc1C#N,4.66
DDPMGIMJSRUULN-UHFFFAOYSA-N,CCC(NC)C(=O)c1ccccc1,4.26
DSKJPMWIHSOYEA-UHFFFAOYSA-N,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,10.51
LEBVLXFERQHONN-UHFFFAOYSA-N,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,6.18
HQIRNZOQPUAHHV-UHFFFAOYSA-N,Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1,7.07
RMRJXGBAOAMLHD-IHFGGWKQSA-N,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,7.96
PRLVTUNWOQKEAI-VKAVYKQESA-N,CC(C)N1C(=O)N(c2ccccc2)CS/C1=N\C(C)(C)C,12.25
SNPPWIUOZRMYNY-UHFFFAOYSA-N,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,5.76
QWCRAEMEVRGPNT-UHFFFAOYSA-N,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,5.78
HKPHPIREJKHECO-UHFFFAOYSA-N,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,12.35
JEDYYFXHPAIBGR-UHFFFAOYSA-N,C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl,9.89
OEYOMNZEMCPTKN-BIBXISHDSA-N,CCO[P@](=S)(N[C@H](C)CC)Oc1cc(C)ccc1[N+](=O)[O-],11.22
HGBFRHCDYZJRAO-UHFFFAOYSA-N,CC(C)CC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,6.14
SFNPDDSJBGRXLW-WEVVVXLNSA-N,CNC(=O)O/N=C(\C)C(C)SC,6.07
RCTCYOQIGNPQJH-WEVVVXLNSA-N,CNC(=O)O/N=C(\C)C(C)[S+](C)[O-],3.35
CTJBHIROCMPUKL-UHFFFAOYSA-N,CNC(=O)ON=C(C)C(C)S(C)(=O)=O,3.66
LUMQWVYYTNMJAC-SECBINFHSA-N,CC[C@@H](C)Nc1c(N(O)O)cc(C(C)(C)C)cc1N(O)O,12.99
JCYPECIVGRXBMO-FOCLMDBBSA-N,CN(C)c1ccc(/N=N/c2ccccc2)cc1,12.38
BYYMILHAKOURNM-UHFFFAOYSA-N,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,8.35
BMTAFVWTTFSTOG-UHFFFAOYSA-N,CCSC(=O)N(CC(C)C)CC(C)C,11.96
CGKQZIULZRXRRJ-UHFFFAOYSA-N,CCC(NC)C(=O)c1ccc2c(c1)OCO2,4.34
KXRPCFINVWWFHQ-UHFFFAOYSA-N,CCOP(=O)(SC(C)CC)SC(C)CC,11.49
ZGNRRVAPHPANFI-UHFFFAOYSA-N,CN(CCO)c1nc2c(c(=O)n(C)c(=O)n2C)n1C,4.94
RYYVLZVUVIJVGH-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2C)n(C)c1=O,4.23
IQUHNCOJRJBMSU-UHFFFAOYSA-N,CC(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,1.31
PXBVEXGRHZFEOF-UHFFFAOYSA-N,CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O,10.02
QZWHWHNCPFEXLL-UHFFFAOYSA-N,CC(C)OC(=O)Nc1ccc2[nH]c(-c3cscn3)nc2c1,7.66
ZTGXAWYVTLUPDT-ZWKOTPCHSA-N,C=C(C)[C@@H]1CC=C(C)C[C@H]1c1c(O)cc(CCCCC)cc1O,12.7
VBGLYOIFKLUMQG-UHFFFAOYSA-N,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,13.65
UJVLDDZCTMKXJK-PVAIODFMSA-N,C[C@]12CCC(=O)C=C1C=CC1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1,9.77
YKPUWZUDDOIDPM-SOFGYWHQSA-N,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,9.83
VTIICEULKUFPJJ-UHFFFAOYSA-N,Oc1c2c(c(O)n1SC(Cl)(Cl)C(Cl)Cl)CC=CC2,9.98
YHILKALTPHRGSY-UHFFFAOYSA-N,Oc1c2c(c(O)n1SC(Cl)(Cl)Cl)CC=CC2,8.77
FAKRSMQSSFJEIM-UHFFFAOYSA-N,CC(CS)C(=O)N1CCCC1C(=O)O,4.59
BQXQGZPYHWWCEB-UHFFFAOYSA-N,CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12,5.49
VPJXQGSRWJZDOB-UHFFFAOYSA-O,C[N+](C)(C)CCOC(N)=O,1.24
FFGPTBGBLSHEPO-UHFFFAOYSA-N,NC(=O)N1c2ccccc2C=Cc2ccccc21,7.36
ZRWWEEVEIOGMMT-UHFFFAOYSA-N,NC(=O)N1c2ccccc2C2OC2c2ccccc21,6.075
CVXBEEMKQHEXEN-UHFFFAOYSA-N,CNC(=O)Oc1cccc2ccccc12,7.46
TWFZGCMQGLPBSX-UHFFFAOYSA-N,COC(=O)Nc1nc2ccccc2[nH]1,5.46
AMRQXHFXNZFDCH-UHFFFAOYSA-N,CCNC(=O)C(C)OC(=O)Nc1ccccc1,6.58
OJFSXZCBGQGRNV-UHFFFAOYSA-N,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,6.08
DUEPRVBVGDRKAG-UHFFFAOYSA-N,CNC(=O)Oc1cccc2c1OC(C)(C)C2,7.01
RHSUJRQZTQNSLL-UHFFFAOYSA-N,CNC(=O)Oc1cccc2c1OC(C)(C)C2O,5.09
VEDTXTNSFWUXGQ-UHFFFAOYSA-N,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,12.9
JLQUFIHWVLZVTJ-UHFFFAOYSA-N,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,13.75
GYSSRZJIHXQEHQ-UHFFFAOYSA-N,CC1=C(C(=O)Nc2ccccc2)SCCO1,7.46
DIVLBIVDYADZPL-UHFFFAOYSA-N,CC(Cc1ccc(C(C)C(=O)O)cc1)C(=O)O,6.99
VDTNNGKXZGSZIP-UHFFFAOYSA-N,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,5.36
KEMXXQOFIRIICG-UHFFFAOYSA-N,CC(C)(C)NCC(O)c1ccc(O)c(NC(N)=O)c1,2.89
MLKCGVHIFJBRCD-UHFFFAOYSA-N,CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl,10.69
OFZCIYFFPZCNJE-UHFFFAOYSA-N,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,7.99
LWAFSWPYPHEXKX-UHFFFAOYSA-N,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,3.91
QTGIAADRBBLJGA-UHFFFAOYSA-N,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,4.69
OGHNVEJMJSYVRP-UHFFFAOYSA-N,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,6.91
DLNKOYKMWOXYQA-IONNQARKSA-N,C[C@H](N)[C@@H](O)c1ccccc1,3.68
PUAQLLVFLMYYJJ-UHFFFAOYSA-N,CC(N)C(=O)c1ccccc1,3.59
QYIYFLOTGYLRGG-RPFQZYLTSA-N,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,4.09
BOEGTKLJZSQCCD-QKFMDRJYSA-N,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)[C@H]2SC1,2.84
ZAIPMKNFIOOWCQ-QKFMDRJYSA-N,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)[C@H]2SC1,4.08
FMZXNVLFJHCSAF-XCWJXAQQSA-O,NC(=O)c1cc[n+](CC2=C(C(=O)O)N3C(=O)C(NC(=O)Cc4cccs4)[C@H]3SC2)cc1,4.03
MLYYVTUWGNIJIB-FFFFSGIJSA-N,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)[C@H]3SC2)s1,4.16
GCFBRXLSHGKWDP-WTOQYCPUSA-N,CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,4.36
YWKJNRNSJKEFMK-FBLFFUNLSA-O,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C[n+]3cccc4c3CCCC4)CS[C@H]12)c1csc(N)n1,3.76
ZBHXIWJRIFEVQY-PVQCJRHBSA-N,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSC(=O)c3ccco3)CS[C@H]12)c1csc(N)n1,5.44
JOATXPAWOHTVSZ-UHFFFAOYSA-N,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,5.24
CDHNVTRRQNLWKA-WOJBJXKFSA-N,COCc1c(-c2ccc(F)cc2)c(=CC[C@@H](O)C[C@@H](O)CC(=O)O)c(C(C)C)nc1=C(C)C,11.6
ZKLPARSLTMPFCP-UHFFFAOYSA-N,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,8.864999999999998
BYCHNMFDSQCCDD-UHFFFAOYSA-N,COC(=O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,8.86
PSOVNZZNOMJUBI-UHFFFAOYSA-N,CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,8.7
YRZQHIVOIFJEEE-UHFFFAOYSA-N,Nc1ncnc(Nc2ccc(Cl)cc2)n1,7.46
VEVSKUJZSMGTMM-UHFFFAOYSA-N,Cc1ccccc1CN1CCN(CCOC(c2ccccc2)c2ccccc2Cl)CC1,10.83
NLYNUTMZTCLNOO-UHFFFAOYSA-N,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,9.55
ULBXWWGWDPVHAO-UHFFFAOYSA-N,C#CC(C)OC(=O)Nc1cccc(Cl)c1,9.27
WFNAKBGANONZEQ-UHFFFAOYSA-N,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,8.28
YMPXMTJJHMOCFO-UHFFFAOYSA-N,CN=C1CN(O)C(c2ccccc2)c2cc(Cl)ccc2N1,8.68
STUSTWKEFDQFFZ-UHFFFAOYSA-N,Cc1cc(Cl)ccc1N=CN(C)C,4.64
CWFOCCVIPCEQCK-UHFFFAOYSA-N,CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F,11.82
YJKIALIXRCSISK-UHFFFAOYSA-N,COC(=O)C(Cl)Cc1ccc(Cl)cc1,10.22
RZXLPPRPEOUENN-UHFFFAOYSA-N,O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,11.1
FSAVDKDHPDSCTO-XYOKQWHBSA-N,CCOP(=O)(OCC)O/C(=C/Cl)c1ccc(Cl)cc1Cl,10.97
UISUNVFOGSJSKD-UHFFFAOYSA-N,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1,13.22
WYKYKTKDBLFHCY-UHFFFAOYSA-N,Nc1cnn(-c2ccccc2)c(=O)c1Cl,5.34
NSWAMPCUPHPTTC-UHFFFAOYSA-N,CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(Cl)cc(OC)n1,9.3
WEQAYVWKMWHEJO-UHFFFAOYSA-N,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,5.94
RAPBNVDSDCTNRC-UHFFFAOYSA-N,CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,11.7
INOGLHRUEYDAHX-UHFFFAOYSA-N,Cln1nnc2ccccc21,6.53
UDHXJZHVNHGCEC-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccc(Cl)cc1,9.74
AXGUBXVWZBFQGA-UHFFFAOYSA-N,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,12.15
ICKFFNBDFNZJSX-UHFFFAOYSA-N,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,7.09
WHTVZRBIWZFKQO-UHFFFAOYSA-N,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.16
KGKGSIUWJCAFPX-UHFFFAOYSA-N,NC(=S)c1c(Cl)cccc1Cl,5.69
JXCGFZXSOMJFOA-UHFFFAOYSA-N,Cc1ccc(NC(=O)N(C)C)cc1Cl,7.98
IVUXTESCPZUGJC-UHFFFAOYSA-N,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,9.99
ILROKGAXBGPFAI-UHFFFAOYSA-N,CN(C)CCN1c2ccccc2Sc2ccc(Cl)cc21,8.49
SOYKEARSMXGVTM-UHFFFAOYSA-N,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,6.25
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,8.89
RKWGIWYCVPQPMF-UHFFFAOYSA-N,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,7.19
CWJSHJJYOPWUGX-UHFFFAOYSA-N,CC(C)OC(=O)Nc1cccc(Cl)c1,9.78
WSPOMRSOLSGNFJ-AUWJEWJLSA-N,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,8.99
SBPBAQFWLVIOKP-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,12.71
HRBKVYFZANMGRE-UHFFFAOYSA-N,COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,11.7
VJYIFXVZLXQVHO-UHFFFAOYSA-N,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2Cl)n1,6.54
JIVPVXMEBJLZRO-UHFFFAOYSA-N,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,5.119999999999999
NPOJQCVWMSKXDN-UHFFFAOYSA-N,COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,11.55
JFXHMRMECNNKLY-UHFFFAOYSA-N,COP(=S)(OC)Oc1ccc(N(O)O)c(Cl)c1,10.18
HPNSNYBUADCFDR-UHFFFAOYSA-N,Cc1cc(C)cc(C(=O)N(NC(=O)c2ccc3c(c2C)CCCO3)C(C)(C)C)c1,9.93
HHHKFGXWKKUNCY-UHFFFAOYSA-N,CCOC(=O)C(CCc1ccccc1)NC1CCCN2CCCC(C(=O)O)N2C1=O,7.94
BUXRLJCGHZZYNE-UHFFFAOYSA-N,CC(C)NCC(O)c1ccc(N)c(C#N)c1,2.99
AQIXAKUUQRKLND-UHFFFAOYSA-N,CN=C(NC#N)NCCSCc1[nH]cnc1C,3.24
PUFQVTATUTYEAL-UHFFFAOYSA-N,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,8.475
NNKKTZOEKDFTBU-YBEGLDIGSA-N,CCOC(=O)/C(Cl)=C/c1cc(N2C(=O)C3=C(CCCC3)C2=O)ccc1Cl,12.42
DERZBLKQOCDDDZ-RAXLEYEMSA-N,C(=C\c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,9.86
WMLPCIHUFDKWJU-UHFFFAOYSA-N,COCCOc1ccccc1S(=O)(=O)NC(=O)Nc1nc(OC)nc(OC)n1,6.36
VDUWPHTZYNWKRN-UHFFFAOYSA-N,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,5.32
MYSWGUAQZAJSOK-UHFFFAOYSA-N,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,4.42
DCSUBABJRXZOMT-RBBKRZOGSA-N,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC,6.73
WSEQXVZVJXJVFP-UHFFFAOYSA-N,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,6.59
AGOYDEPGAOXOCK-WLLSWQJKSA-N,CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)CC(C)C(=O)C(C)[C@@H](O)[C@]1(C)O,9.18
YNNUSGIPVFPVBX-NHCUHLMSSA-N,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,9.31
STJMRWALKKWQGH-UHFFFAOYSA-N,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,4.76
YWTHVAKOGDVEOS-JWGBMQLESA-N,CCSC(C)CC1CC(=O)C(C(CC)=NOC/C=C/Cl)C(=O)C1,9.47
GDDYCOSWVJRUHM-UHFFFAOYSA-N,CC(CC(=O)Nc1ccc(Cl)cc1Cl)N1CCCCC1,6.27
HOOSGZJRQIVJSZ-UHFFFAOYSA-N,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,5.84
OWEGWHBOCFMBLP-UHFFFAOYSA-N,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,10
CXOXHMZGEKVPMT-UHFFFAOYSA-N,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,8.08
IDWVKNARDDZONS-UHFFFAOYSA-N,CN(C)CCN1C(=O)c2ccccc2Nc2cc(Cl)ccc21,6.32
HUYVOKGTJJWNAG-AVVSTMBFSA-N,CCCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)C(=O)C[C@@]21C,11.33
KVHHQGIIZCJATJ-UHFFFAOYSA-N,CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1,6.31
JBDHZKLJNAIJNC-UHFFFAOYSA-N,C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,10.67
UXADOQPNKNTIHB-UHFFFAOYSA-N,Clc1ccccc1-c1nnc(-c2ccccc2Cl)nn1,11.51
KIEDNEWSYUYDSN-UHFFFAOYSA-N,CC1(C)CON(Cc2ccccc2Cl)C1=O,8.89
PCLITLDOTJTVDJ-UHFFFAOYSA-N,Cc1ncsc1CCCl,6.69
GDLIGKIOYRNHDA-UHFFFAOYSA-N,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,9.21
QKPRGUMFCHDCOK-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2Cl)c2cc(N(O)O)ccc2N1,7.61
GJSURZIOUXUGAL-UHFFFAOYSA-N,Clc1cccc(Cl)c1NC1=NCCN1,3.83
LBXHRAWDUMTPSE-AOOOYVTPSA-N,C[C@@H]1CCC[C@H](C)N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,6.01
WFPIAZLQTJBIFN-UHFFFAOYSA-N,OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1,9.97
GKTWGGQPFAXNFI-UHFFFAOYSA-N,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,11.78
HUBANNPOLNYSAD-UHFFFAOYSA-N,O=C(O)c1nc(Cl)ccc1Cl,3.06
KAAZGXDPUNNEFN-UHFFFAOYSA-N,CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,8.96
CHBRHODLKOZEPZ-UHFFFAOYSA-N,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,10.17
QZUDBNBUXVUHMW-UHFFFAOYSA-N,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,7.19
NMPOSNRHZIWLLL-QGPPMGRFSA-N,CCOC(=O)C1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,5.46
ZPUCINDJVBIVPJ-MBOZISHXSA-N,COC(=O)C1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,4.84
OROGSEYTTFOCAN-DNJOTXNNSA-N,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,3.4
IAKHMKGGTNLKSZ-INIZCTEOSA-N,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,6.43
OMFXVFTZEKFJBZ-ORVDRNQDSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C)C(C(=O)CO)CC[C@@H]12,8.745000000000001
